batch,sourcefile,sourceline,fullpath,filename,bytes,timestamp,md5,relpath
Archive044,Archive044_2015-05-05_DPIdetails.txt,2,./fc007599c38cc3a0,fc007599c38cc3a0,2666,Fri Dec 19 09:07:54 EST 2014,d52bd2cd680f3bf1cb8ef53080ac7018,fc007599c38cc3a0
Archive044,Archive044_2015-05-05_DPIdetails.txt,3,./fc007599c38cc3a1,fc007599c38cc3a1,76,Fri Dec 19 09:07:54 EST 2014,6b1a5335bbee9220bb69f2af3a3a36ac,fc007599c38cc3a1
Archive044,Archive044_2015-05-05_DPIdetails.txt,4,./fseventsd-uuid,fseventsd-uuid,36,Fri Dec 19 09:07:54 EST 2014,837de8dec7ff29d5ca0214dd250085bb,fseventsd-uuid
Archive044,Archive044_2015-05-05_DPIdetails.txt,6,./._.DS_Store,._.DS_Store,4096,Thu Dec 18 15:20:06 EST 2014,304cf9a4e1032eec19681b000a2f20b2,_.DS_Store
Archive044,Archive044_2015-05-05_DPIdetails.txt,7,./Ims-026097-0001.mov,Ims-026097-0001.mov,38971563115,Wed Dec 10 16:14:20 EST 2014,2084f28fd2aba4a9f9bfdca1b6b23508,Ims-026097-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,8,./Ims-026098-0001.mov,Ims-026098-0001.mov,34584922044,Thu Dec 11 16:43:40 EST 2014,56831b566654b5233887a6130b478f30,Ims-026098-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,9,./Ims-026099-0001.mov,Ims-026099-0001.mov,33388736460,Fri Dec 12 15:07:56 EST 2014,b45fdf1fe7286bd4cc15140ce8769e7d,Ims-026099-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,10,./Ims-026100-0001.mov,Ims-026100-0001.mov,32453245948,Fri Dec 12 15:37:58 EST 2014,53131809e6afa67d4c1896e3a4563cf2,Ims-026100-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,11,./Ims-026101-0001.mov,Ims-026101-0001.mov,35951453452,Thu Dec 11 16:32:40 EST 2014,16a88cd089aa4b64952a2bc619a804ab,Ims-026101-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,12,./Ims-026102-0001.mov,Ims-026102-0001.mov,34582098604,Tue Dec 09 18:23:06 EST 2014,4a0d8a2a2599a284da669cb39a0434d7,Ims-026102-0001.mov
